COUNTRY,VARIABLE,2015,2020,2025,2030,2035
EU,AgEmis,445,449,453,458,461
Austria,AgEmis,6.9,7,7.1,7.1,7.2
Belgium,AgEmis,10.7,10.7,10.7,10.7,10.6
Denmark,AgEmis,10.2,10.4,10.6,10.8,10.8
Finland,AgEmis,6.1,6.3,6.4,6.4,6.4
France,AgEmis,78.8,78.4,78.6,78.5,78.2
Germany,AgEmis,60.3,61.3,61.7,62.1,62.5
Greece,AgEmis,8.9,8.7,8.7,8.8,9.2
Ireland,AgEmis,18.1,18.8,19.2,18.9,18.2
Italy,AgEmis,30.9,31,31.1,31.2,31
Luxemburg,AgEmis,0.9,0.9,0.8,0.8,0.8
Malta,AgEmis,0.1,0.1,0.1,0.1,0.1
Netherlands,AgEmis,18.6,17.9,17.6,17.3,17
Norway,AgEmis,4.8,4.7,4.7,4.7,
Portugal,AgEmis,7.6,7.3,7.1,6.5,5.8
Spain,AgEmis,39.4,39.6,39.3,39,38.6
Sweden,AgEmis,6.6,6.3,6.1,5.9,5.7
UK,AgEmis,55.4,51.4,50.4,50.4,50.4
WEU,AgEmis,364.3,360.8,360.2,359.2,352.5
EU,LULUCF,-247,-243,-248,-250,-258
Austria,LULUCF,3.5,5,5,5,5
Belgium,LULUCF,-0.7,-0.8,-0.5,0.9,0.9
Denmark,LULUCF,4.4,4.2,4.1,4.1,4
Finland,LULUCF,-10,-9.5,-3.8,-3.4,-3.4
France,LULUCF,-53.8,-61.6,-68.1,-74.4,-78.7
Germany,LULUCF,-15.7,-15.7,-15.7,-15.7,-15.7
Greece,LULUCF,,,,,
Ireland,LULUCF,1.9,2.5,4,5.7,4.2
Italy,LULUCF,-24.5,-25.5,-38.1,-40.3,-42.4
Luxemburg,LULUCF,,,,,
Malta,LULUCF,-0.1,-0.1,-0.1,-0.1,-0.1
Netherlands,LULUCF,5.5,5.5,5.5,5.5,5.5
Norway,LULUCF,-24.5,-23.5,-22.6,-21.3,
Portugal,LULUCF,-10,-7.6,-7.9,-8.3,-8.7
Spain,LULUCF,-33.9,-33.6,-33.1,-32.7,-32.3
