COUNTRY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2030,2040,2050,2060,2070,2080,2080
Belgium,10511382,10584534,10666866,10753080,10839905,11000638,11094850,11161642,11180840,11237274,11311117,11365834,11580268,12264124,12844259,13273155,13580693,13888154,14189456,14189456
Denmark,5427459,5447084,5475791,5511451,5534738,5560628,5580516,5602628,5627235,5659715,5707251,5748769,5887449,6298421,6564333,6685016,6756166,6826143,6858258,6858258
Germany,82437995,82314906,82217837,82002356,81802257,80222065,80327900,80523746,80767463,81197537,82175684,82800000,83751689,84613298,84133642,82686973,80831728,79292754,77793794,77793794
Ireland,4208156,4340118,4457765,4521322,4549428,4570881,4582707,4591087,4605501,4628949,4724720,4774833,4852123,5146475,5396380,5693430,5898111,6034648,6220907,6220907
Greece,11004716,11036008,11060937,11094745,11119289,11123392,11086406,11003615,10926807,10858018,10783748,10757293,10560467,9944658,9419973,8918545,8294677,7685925,7264686,7264686
Spain,44009971,44784666,45668939,46239273,46486619,46667174,46818219,46727890,46512199,46449565,46440099,46528966,46562044,47110106,48244792,49257477,49556550,49827868,50988206,50988206
France,63229635,63645065,64007193,64350226,64658856,64978721,65276983,65600350,65942093,66488186,66759950,67024459,67818978,70525154,72915525,74376832,75525269,76946531,78688730,78688730
Italy,58064214,58223744,58652875,59000586,59190143,59364690,59394207,59685227,60782668,60795612,60665551,60589445,60718572,60350475,59982002,58968137,56948693,54935591,53784578,53784578
Luxembourg,469086,476187,483799,493500,502066,511840,524853,537039,549680,562958,576249,590667,628950,754522,860808,938416,992924,1035348,1066377,1066377
Malta,404999,405616,407832,410926,414027,414989,417546,421364,425384,429344,434403,440433,452542,488632,505921,513081,519214,520864,517254,517254
Netherlands,16334210,16357992,16405399,16485787,16574989,16655799,16730348,16779575,16829289,16900726,16979120,17081507,17410756,18393443,19035643,19235467,19323324,19538736,19728275,19728275
Austria,8254298,8282984,8307989,8335003,8351643,8375164,8408121,8451860,8506889,8576261,8690076,8772865,9005487,9675572,10087623,10247691,10230993,10171555,10072112,10072112
Portugal,10511988,10532588,10553339,10563014,10573479,10572721,10542398,10487289,10427301,10374822,10341330,10309573,10209628,9880173,9553608,9116350,8552352,8008741,7579557,7579557
Finland,5255580,5276955,5300484,5326314,5351427,5375276,5401267,5426674,5451270,5471753,5487308,5503297,5561792,5697608,5722378,5687527,5654618,5626229,5577757,5577757
Sweden,9047752,9113257,9182927,9256347,9340682,9415570,9482855,9555893,9644864,9747355,9851017,9995153,10293412,11237236,11994364,12681084,13284780,13842072,14388478,14388478
United Kingdom,60620361,61073279,61571647,62042343,62510197,63022532,63495303,63905297,64351155,64875165,65382556,65808573,67236507,71563991,75004352,77568588,79338994,80959872,82424395,82424395
Iceland,299891,307672,315459,319368,317630,318452,319575,321857,325671,329100,332529,338349,,,,,,,,
Liechtenstein,34905,35168,35356,35589,35894,36149,36475,36838,37129,37366,37622,37815,,,,,,,,
Norway,4640219,4681134,4737171,4799252,4858199,4920305,4985870,5051275,5107970,5166493,5213985,5258317,5403704,5878930,6268216,6568489,6807913,7005719,7166280,7166280
Switzerland,7459128,7508739,7593494,7701856,7785806,7870134,7954662,8039060,8139631,8237666,8327126,8417700,,,,,,,,
Andorra,78549,81222,83137,84484,84082,78115,78115,76246,,,71732,73105,,,,,,,,
Monaco,,,,,,,,,,37700,38200,37550,,,,,,,,
San Marino,29999,30368,32054,31269,:,31863,33376,33562,32520,32789,33005,33196,,,,,,,,
WEU,402334493.00,404539286.00,407218290.00,409358091.00,410881356.00,411087098.00,412572552.00,414020014.00,416173559.00,418094354.00,420364378.00,422287699.00,417934368,429822818,438533819,442416258,442096999,442146750,444309100,444309100
