Country,Element,Item,Year,Unit,Value
Austria,Area,Arable land and Permanent crops,2000,1000 ha,1470
Austria,Area,Arable land and Permanent crops,2001,1000 ha,1458
Austria,Area,Arable land and Permanent crops,2002,1000 ha,1456
Austria,Area,Arable land and Permanent crops,2003,1000 ha,1451.03
Austria,Area,Arable land and Permanent crops,2004,1000 ha,1445.3
Austria,Area,Arable land and Permanent crops,2005,1000 ha,1446.7
Austria,Area,Arable land and Permanent crops,2006,1000 ha,1445.2
Austria,Area,Arable land and Permanent crops,2007,1000 ha,1444
Austria,Area,Arable land and Permanent crops,2008,1000 ha,1435.3
Austria,Area,Arable land and Permanent crops,2009,1000 ha,1432.9
Austria,Area,Arable land and Permanent crops,2010,1000 ha,1429.1
Austria,Area,Arable land and Permanent crops,2011,1000 ha,1424.9
Austria,Area,Arable land and Permanent crops,2012,1000 ha,1420.4
Austria,Area,Arable land and Permanent crops,2013,1000 ha,1419.3
Austria,Area,Arable land and Permanent crops,2014,1000 ha,1417.1
Austria,Area,Arable land and Permanent crops,2015,1000 ha,1411.59
Austria,Area,Temporary meadows and pastures,2001,1000 ha,137.2
Austria,Area,Temporary meadows and pastures,2002,1000 ha,144.5
Austria,Area,Temporary meadows and pastures,2003,1000 ha,151.62
Austria,Area,Temporary meadows and pastures,2004,1000 ha,157.8
Austria,Area,Temporary meadows and pastures,2005,1000 ha,165.5
Austria,Area,Temporary meadows and pastures,2006,1000 ha,170.1
Austria,Area,Temporary meadows and pastures,2007,1000 ha,163.5
Austria,Area,Temporary meadows and pastures,2008,1000 ha,156.6
Austria,Area,Temporary meadows and pastures,2009,1000 ha,159.4
Austria,Area,Temporary meadows and pastures,2010,1000 ha,165.2
Austria,Area,Temporary meadows and pastures,2011,1000 ha,163.3
Austria,Area,Temporary meadows and pastures,2012,1000 ha,161.6
Austria,Area,Temporary meadows and pastures,2013,1000 ha,161.9
Austria,Area,Temporary meadows and pastures,2014,1000 ha,162.3
Austria,Area,Temporary meadows and pastures,2015,1000 ha,158
Austria,Area,Permanent meadows and pastures,2000,1000 ha,1470.2
Austria,Area,Permanent meadows and pastures,2001,1000 ha,1458.1
Austria,Area,Permanent meadows and pastures,2002,1000 ha,1446.2
Austria,Area,Permanent meadows and pastures,2003,1000 ha,1434.2
Austria,Area,Permanent meadows and pastures,2004,1000 ha,1422.1
Austria,Area,Permanent meadows and pastures,2005,1000 ha,1410.1
Austria,Area,Permanent meadows and pastures,2006,1000 ha,1398.1
Austria,Area,Permanent meadows and pastures,2007,1000 ha,1386.1
Austria,Area,Permanent meadows and pastures,2008,1000 ha,1374.1
Austria,Area,Permanent meadows and pastures,2009,1000 ha,1362.1
Austria,Area,Permanent meadows and pastures,2010,1000 ha,1350.1
Austria,Area,Permanent meadows and pastures,2011,1000 ha,1332.4
