TIME,GEO,UNIT,AIRPOL,AIREMSECT,Value
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors and indirect CO2 (excluding memo items),4 854.08685
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors and indirect CO2 (excluding LULUCF and memo items),5 154.9428
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ","All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",5 270.84703
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors (excluding memo items),4 851.3793
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors (excluding LULUCF and memo items),5 152.23524
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ","All sectors (excluding LULUCF and memo items, including international aviation)",5 268.13947
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Energy,4 004.54022
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Industrial processes and product use,452.49084
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Agriculture,464.47212
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ","Land use, land use change, and forestry (LULUCF)",-300.85594
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Waste management,230.73206
2000,European Union (current composition),Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Other sectors,0
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors and indirect CO2 (excluding memo items),4 871.65596
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors and indirect CO2 (excluding LULUCF and memo items),5 162.39319
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ","All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",5 278.65366
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors (excluding memo items),4 868.9484
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors (excluding LULUCF and memo items),5 159.68564
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ","All sectors (excluding LULUCF and memo items, including international aviation)",5 275.9461
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Energy,4 009.46423
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Industrial processes and product use,453.53312
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Agriculture,465.46602
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ","Land use, land use change, and forestry (LULUCF)",-290.73724
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Waste management,231.22227
2000,European Union (current composition) and Iceland under the Kyoto Protocol,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Other sectors,0
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors and indirect CO2 (excluding memo items),:
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors and indirect CO2 (excluding LULUCF and memo items),:
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ","All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",154.19172
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors (excluding memo items),147.32355
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",All sectors (excluding LULUCF and memo items),149.4801
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ","All sectors (excluding LULUCF and memo items, including international aviation)",154.19172
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Energy,105.76663
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Industrial processes and product use,28.41877
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Agriculture,11.35062
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ","Land use, land use change, and forestry (LULUCF)",-2.15655
2000,Belgium,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent) ",Waste management,3.94408
